"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_name","Input.image_url","Answer.NumberOfItems","Approve","Reject"
"3IZVJEBJ6AKUSUW64YTOZUTAEDJ6Z2","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3A9AA95ATWM7I6SG28QJ4A8DI4P5P7","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:27:42 PST 2016","Thu Feb 11 17:27:58 PST 2016","Fri Feb 12 01:27:58 PST 2016","","","","16","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-0.png","HAIR"
"3IZVJEBJ6AKUSUW64YTOZUTAEDJ6Z2","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3K5TEWLKGVBWZEKRV4ICZB109EWVIS","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:46:37 PST 2016","Thu Feb 11 18:46:43 PST 2016","Fri Feb 12 02:46:43 PST 2016","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-0.png","hair"
"3IZVJEBJ6AKUSUW64YTOZUTAEDJ6Z2","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3Q5C1WP23M141E9EH6FT3EQFFOJ15Z","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:31:34 PST 2016","Thu Feb 11 17:31:59 PST 2016","Fri Feb 12 01:31:59 PST 2016","","","","25","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-0.png","HIAR"
"3ZURAPD288NTGR49XGN016MBUX9F1P","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","336YQZE83VE1X3V3ASYRN6EIDZE5MB","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:27:26 PST 2016","Thu Feb 11 17:27:30 PST 2016","Fri Feb 12 01:27:30 PST 2016","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-1.png","NOSE"
"3ZURAPD288NTGR49XGN016MBUX9F1P","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3I0BTBYZAXL2WDYGWPGQ065Y51HY09","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:44:13 PST 2016","Thu Feb 11 18:44:22 PST 2016","Fri Feb 12 02:44:22 PST 2016","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-1.png","NosE"
"3ZURAPD288NTGR49XGN016MBUX9F1P","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3RXPCZQMQPB2HBYYY2YK7BH45XXG1W","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:31:07 PST 2016","Thu Feb 11 17:31:12 PST 2016","Fri Feb 12 01:31:12 PST 2016","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-1.png","NOSE"
"3087LXLJ6MGT92JR1XJ0N131P53F0M","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3483FV8BEEJ793RO5TPC03EK3P9622","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:46:00 PST 2016","Thu Feb 11 18:46:05 PST 2016","Fri Feb 12 02:46:05 PST 2016","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-2.png","EyeS"
"3087LXLJ6MGT92JR1XJ0N131P53F0M","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3H8DHMCCW9B1BSAT4M3U65A61BHDKM","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:32:19 PST 2016","Thu Feb 11 17:32:31 PST 2016","Fri Feb 12 01:32:31 PST 2016","","","","12","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-2.png","EYES"
"3087LXLJ6MGT92JR1XJ0N131P53F0M","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3K4J6M3CXETYBZBYULRDICA79R3AGE","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:28:09 PST 2016","Thu Feb 11 17:28:13 PST 2016","Fri Feb 12 01:28:13 PST 2016","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-2.png","EYES"
"3MDWE879UH2LSFVOWRGXXMD9DB59BA","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","34QN5IT0TZRNH77YJLIW1THWCMF08Y","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:44:42 PST 2016","Thu Feb 11 18:44:53 PST 2016","Fri Feb 12 02:44:53 PST 2016","","","","11","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-3.png","eras"
"3MDWE879UH2LSFVOWRGXXMD9DB59BA","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","384PI804XS150RM7XJO1IKHXOGL0SX","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:29:02 PST 2016","Thu Feb 11 17:29:08 PST 2016","Fri Feb 12 01:29:08 PST 2016","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-3.png","EARS"
"3MDWE879UH2LSFVOWRGXXMD9DB59BA","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3SB5N7Y3O342AMDG2JUKT6YU05RG0T","A1OH59CQQ6S04H","Submitted","Thu Feb 11 17:31:01 PST 2016","Thu Feb 11 17:31:04 PST 2016","Fri Feb 12 01:31:04 PST 2016","","","","3","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-3.png","EARS EARS"
"3RIHDBQ1NEYAQCH4LSUYOJMR8NHHMX","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3KOPY89HM828IG2ETCX6SHOHV9T3JG","A2A69YUDNW9KUW","Submitted","Thu Feb 11 18:45:05 PST 2016","Thu Feb 11 18:45:12 PST 2016","Fri Feb 12 02:45:12 PST 2016","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-4.png","mouth"
"3RIHDBQ1NEYAQCH4LSUYOJMR8NHHMX","3NB4XF0P1V96VV4KVNWTLITSILIL22","Transcribe text from an image","Submit the text shown in the given image","image, write, transcription","$0.10","Wed Feb 10 14:05:28 PST 2016","3","BatchId:121669;","604800","28800","Wed Feb 17 14:05:28 PST 2016","","","3MX2NQ3YC9UCRFU7OZ00YNUGK3Y5XV","A20Q5M8IJN8Q2P","Submitted","Thu Feb 11 17:28:39 PST 2016","Thu Feb 11 17:28:43 PST 2016","Fri Feb 12 01:28:43 PST 2016","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","0.png","https://s3-us-west-2.amazonaws.com/ai2-vision/example-turk/0.png-4.png","MOUTH"
